Jäsemed|Tõsta käed üles|Raise your hands up
Muu|Lase vabaks|Relax
Liikumine|Kõnni 20 sammu|
Muu|Tõsta mingi asi üles|
Jäsemed|Tõsta jalg 90 kraadi kõrgusele|
Mööbel|Tõsta kaks tooli teise kohta|
Inimesed|Puuduta kedagi|
Toiduained|Söö midagi.|
Muu|Tardu paigale ja loe 20ni.|
Jäsemed|Lisa uus korraldus kategoorias Jäsemed|
Toiduained|Väldi jahutooteid 1 tunni jooksul|
Mööbel|Kergita lauda|
Toiduained|Joo vett|
Jäsemed|Tee käteringe|
Jäsemed|Lehvita kellelegi|
Jäsemed|Raputa vasemat, siis paremat jalga|
Jäsemed|Puuduta parema käega vasaku jala varbaid|
Jäsemed|Hõõru ühe jalaga teist|
Jäsemed|Tõsta käed nii kõrgele kui saad.|
Jäsemed|Sulge silmad ja kujuta ette, kuidas pisike punkt vaikselt suureneb. |
Muu|Sulge silmad ja kujuta ette, kuidas pisike punkt vaikselt suureneb. |
Muu|Ära räägi ühtki sõna 1 minuti jooksul|
Jäsemed|Stand up - look to the left, then look to the right.   Go back to what you were doing.|
Jäsemed|Use a napkin and fold in on your lap.|
Jäsemed|Hoia käes mingit rohelist toiduainet, aga ära söö seda.|
Toiduained|Söö jogurtit|
Muu|Kujuta sisemise silma ees, kuidas kaks kotkast üle maantee lendab|
Muu|Vaata aknast välja ja tuvasta tähti.|
Inimesed|Mana oma südamesse armastus kõigi inimeste vastu|
Toiduained|Söö midagi värsket|
Inimesed|Mine ühe inimese kõrvale|
Inimesed|Väldi teisi inimesi 1 min jooksul|
Jäsemed|Write down the name of the person you are thinking about right now.  If there is no one, write your own name.|
Inimesed|Toeta kedagi|
Inimesed|Seleta kellelegi midagi|
Inimesed|Ära helista kellelegi|
Inimesed|Viibuta kellelegi sõrme|
Inimesed|Tunne ennast hästi|
Inimesed|Kortsuta kellelegi kulmu|
Jäsemed|Tee kaks kätekõverdust!|
Jäsemed|Pane käed  selja taga kokku ja hoia 30 sekundit|
Jäsemed|Joonista küünarnukkidega õhku oma nimetähed|
Jäsemed|Keera oma parem peopesa “torusse” ja aseta see korraks kõrva juurde.|
Jäsemed|Haara parema käega oma vasaku käe sõrmest.|
Toiduained|Söö midagi ja sülita see siis välja.|
Toiduained|Kujutle, kuidas oleks hammustada oma lemmik-õuna|
Jäsemed|Trummelda sõrmedega vastu lauda!|
Jäsemed|Tee käteringe!|
Jäsemed|Palun liiguta parema jala varbaid kinga/jalatsi sees.|
Jäsemed|Hüppa|
Jäsemed|Puuduta parema käe nimetissõrmega ninaotsa (ja loe seitsmeni)|
Jäsemed|Puuduta vasaku käega parema jala varbaid!|
Jäsemed|Ühenda oma käed kolmeks sekundiks nii, et peopesad puutuksid kokku.|
Jäsemed|Viibuta jalga|
Jäsemed|Trambi jalgu|
Jäsemed|Liiguta korraga oma mõlema käe sõrmi.|
Jäsemed|Mõtle 55 sekundit käte liikumisest |
Jäsemed|Haara parema käega oma vasaku käe väikesest sõrmest, joia 5 sekundit.|
Jäsemed|Plaksuta hääletult|
Jäsemed|Raputa jalgu|
Jäsemed|Haara oma vasaku käega parema käe väikesest sõrmest, hoia 3 sekundit.|
Jäsemed|Keksi jalalt jalale|
Jäsemed|Seisa ühel jalal|
Jäsemed|Jäljenda kätega silmade pilgutamist|
Jäsemed|Jalad: harki-kokku, käed: üles-alla|
Jäsemed|Pilguta 3 korda vasaku silmaga|
Jäsemed|Pane jalad ja käed risti.|
Jäsemed|Plaksuta käsi|
Jäsemed|Nipsuta sõrmi|
Jäsemed|Puuduta vasaku käega parema jala varbaid|
Jäsemed|Ava uks jalaga|
Jäsemed|Jalad laialt harki|
Jäsemed|Nuusuta oma parema käe sõrmi.|
Jäsemed|kujutle korraks oma varbaid|
Jäsemed|Joonista õhku hiina hieroglüüf|
Jäsemed|Liiguta varbaid.|
Jäsemed|Istu rätsepaistes!|
Toiduained|Söö midagi valget|
Jäsemed|Puuduta kätega maad|
Jäsemed|Joo klaas vett|
Jäsemed|Vaata oma sõrmi.|
Jäsemed|Tõsta jalg hästi aeglaselt üles|
Toiduained|Mõtle millegi hästi maitsva peale.|
Jäsemed|Raputa paremat jalga!|
Jäsemed|Joo kohvi!|
Jäsemed|Nuusuta mingit toiduainet.|
Toiduained|Nuusuta!!|
Jäsemed|Tee vasaku käe sõrmedega kaheksaid. |
Jäsemed|tunneta oma sõrmi|
Jäsemed|liiguta varbaid|
Jäsemed|Keeruta pöidlaid!|
Jäsemed|siruta sõrmed harali, hoia 3 sekundit|
Jäsemed|Joo vett!|
Jäsemed|tõsta käed ringutamiseks üles, hoia vähemalt 3 sekundit|
Jäsemed|Seisa kikivarvul!|
Jäsemed|Plaksuta helitult!|
Toiduained|mine vaata endale kõige lähemal paiknevat toiduainet, ent ära puutu seda|
0|0|
Jäsemed|puutu oma põlvi|
Jäsemed|Venita jalalihaseid|
Jäsemed|Trummelda sõrmedaga vastu lauda!|
Toiduained|Mõtle mingist toiduainest, keskendudes tema struktuurile|
Jäsemed|Tee kolm pearingi|
Jäsemed|Tunneta oma varbaid|
Jäsemed|Raputa randmeid!|
Jäsemed|Ära lisa suhkrut!|
Toiduained|nuusuta mingit toiduainet, vaata, maitse - viimast võimalikult aeglaselt|
Jäsemed|puutu oma sõrmi|
Jäsemed|Süga vasaku käega nina!|
Toiduained|Tõsta mingi söök või jook suu juurde 3 korda, aga ära söö seda üldse|
